Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Market Cap
523838,Simplex Infrastructures Limited,SIMPLEXINF,SIMPLEX INFRASTRUCTURES LTD.,Active,T,2,INE059B01024,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,14303420000
504084,Kaycee Industries Ltd.,KAYCEEI,KAYCEE INDUSTRIES LTD.,Active,XT,10,INE813G01023,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,14048450000
532842,Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD,SREE RAYALASEEMA HI-STRENGTH HYPO LTD.,Active,B,10,INE917H01012,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,13858876087
501150,Centrum Capital Limited,CENTRUM,CENTRUM CAPITAL LTD.,Active,B,1,INE660C01027,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,14036942500
520008,RICO Auto Industries Ltd.,RICOAUTO,RICO AUTO INDUSTRIES LTD.,Active,B,1,INE209B01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,14050462400
500136,Ester Industries Ltd.,ESTER,ESTER INDUSTRIES LTD.,Active,B,5,INE778B01029,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,13734822702
540717,Polo Queen Industrial and Fintech Limited,PQIF,Polo Queen Industrial and Fintech Ltd,Active,B,2,INE689M01025,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,13856402653
543977,Rishabh Instruments Limited,RISHABH,Rishabh Instruments Ltd,Active,B,10,INE0N2P01017,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,13879200000
511333,VLS Finance Limited,VLSFINANCE,VLS FINANCE LTD.,Active,B,10,INE709A01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,13991810000
543931,VEEFIN SOLUTIONS LIMITED,VEEFIN,Veefin Solutions Ltd,Active,M,10,INE0Q0M01015,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,13909520000
506197,Bliss GVS Pharma Limited,BLISSGVS,BLISS GVS PHARMA LTD.,Active,B,1,INE416D01022,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,14589074000
500402,SPML Infra Limited,SPMLINFRA,SPML Infra Limited,Active,T,2,INE937A01023,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,14296720000
540649,AVADH SUGAR & ENERGY LIMITED,AVADHSUGAR,Avadh Sugar & Energy Ltd,Active,B,10,INE349W01017,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,13632537210
544037,Amic Forging Limited,AMIC,Amic Forging Ltd,Active,M,10,INE0P9J01013,Castings & Forgings,Equity,Industrials,Capital Goods,Industrial Products,Castings & Forgings,14116880000
520059,Munjal Auto Industries Ltd.,MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.,Active,B,2,INE672B01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,14403304375
511413,CREST VENTURES LIMITED,CREST,CREST VENTURES LIMITED,Active,B,10,INE559D01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),13819240000
531426,Tamil Nadu Newsprint And Papers Ltd,TNPL,TAMIL NADU NEWSPRINT & PAPERS LTD.,Active,B,10,INE107A01015,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,13627560810
526650,Tourism Finance Corpn. Of India Ltd,TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LTD.,Active,B,10,INE305A01015,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution,13741168666
544144,Popular Vehicles and Services Limited,PVSL,Popular Vehicles and Services Ltd,Active,B,2,INE772T01024,Auto -Dealer,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto -Dealer,13954845240
542669,BMW INDUSTRIES LIMITED,BMW,BMW Industries Ltd,Active,B,1,INE374E01021,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,13759537985
541276,HARDWYN INDIA LIMITED,HARDWYN,Hardwyn India Ltd,Active,B,1,INE626Z01029,Furniture- Home Furnishing,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing",13641262207
539290,Oswal Greentech Limited,OSWALGREEN,Oswal Greentech Ltd,Active,B,10,INE143A01010,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,12922640000
531449,GRM Overseas Ltd.,GRMOVER,GRM OVERSEAS LTD.,Active,B,2,INE192H01020,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,13725000000
500280,Century Enka Ltd.,CENTENKA,CENTURY ENKA LTD.,Active,B,10,INE485A01015,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,13404240000
500119,Dhampur Sugar Mills Ltd.,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,B,10,INE041A01016,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,13602580000
502180,Shree Digvijay Cement Co. Ltd.,SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$,Active,B,10,INE232A01011,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,13567320000
516030,PAKKA LIMITED,PAKKA,Pakka Ltd-$,Active,B,10,INE551D01018,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,13719337992
540795,Dynamic Cables Limited,DYCL,Dynamic Cables Ltd,Active,B,10,INE600Y01019,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,13351560979
524648,Indo Amines Ltd.,INDOAMIN,INDO AMINES LTD.-$,Active,B,5,INE760F01028,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,13629602415
522029,Windsor Machines Limited,WINDMACHIN,WINDSOR MACHINES LTD.,Active,B,2,INE052A01021,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,13247386113
532794,Zee Media Corporation Limited,ZEEMEDIA,Zee Media Corporation Limited,Active,T,1,INE966H01019,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,13634345182
531847,Asian Star Co. Ltd.,ASTAR,ASIAN STAR CO.LTD.-$,Active,B,10,INE194D01017,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",12981514800
532515,T.V.Today Network Limited,TVTODAY,TV TODAY NETWORK LTD.,Active,B,5,INE038F01029,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,13186170000
